City,HurricaneName,DATE,AWND,WSF2,SizeRank,before,after,percent,increase
Saint Augustine,irma,9/9/2017,21.25,31.1,275,371679.6534,390013.572,4.932720538315046,0
Saint Augustine,michael,10/9/2018,19.46,36.0,275,391636.4018,401823.309,2.60111346983579,0
Saint Petersburg,charley,8/13/2004,12.08,31.1,84,245925.9512,292718.6866,19.027164547569715,0
Saint Petersburg,dennis,7/10/2005,24.16,38.9,84,287242.0336,357491.0536,24.45638582890188,0
Saint Petersburg,irma,9/10/2017,35.34,53.0,84,328670.9568,350834.0356,6.7432422431795525,0
Saint Petersburg,matthew,10/7/2016,14.76,25.9,84,310477.3885,330617.8183,6.4869232175984965,0
Saint Petersburg,michael,10/9/2018,18.57,31.1,84,352029.7437,372843.5174,5.912504290471982,0
Sarasota,charley,8/13/2004,9.4,31.1,113,385639.132,459976.734,19.276467513675456,0
Sarasota,dennis,7/10/2005,19.46,32.0,113,452193.4678,591349.5665,30.773575606259563,1
Sarasota,irma,9/10/2017,26.4,49.0,113,470763.0016,479432.3075,1.841543594236437,0
Sarasota,matthew,10/7/2016,18.12,29.1,113,454460.5547,471623.5486,3.776564043347985,0
Sarasota,michael,10/10/2018,17.22,29.1,113,479416.9432,491520.939,2.5247325885498726,0
Tallahassee,charley,8/14/2004,4.7,10.1,89,250695.076,285238.5945,13.77909732060314,0
Tallahassee,dennis,7/10/2005,21.7,38.0,89,282382.4995,328961.6678,16.495061975326138,0
Tallahassee,irma,9/11/2017,20.8,38.0,89,292785.0349,306369.467,4.639728975437459,0
Tallahassee,matthew,10/7/2016,12.75,23.0,89,281868.8984,293984.8874,4.298448345587319,0
Tallahassee,michael,10/10/2018,23.71,49.0,89,307648.9345,320541.8673,4.190793906357576,0
Tampa,charley,8/13/2004,7.61,23.0,50,314461.3881,368173.9723,17.080820168267916,0
Tampa,dennis,7/10/2005,13.87,25.9,50,362703.1625,450576.759,24.227413925567863,0
Tampa,irma,9/10/2017,20.36,52.1,50,416562.0122,441476.5317,5.980986928793215,0
Tampa,matthew,10/7/2016,16.78,25.1,50,398907.7081,418986.3806,5.0334130156659125,0
Tampa,michael,10/10/2018,14.99,25.1,50,443650.0212,464655.7198,4.734745316405724,0
Tavares,charley,8/13/2004,8.72,29.1,2776,205000.0376,238537.1713,16.359574414048776,0
Tavares,dennis,7/10/2005,13.65,29.1,2776,234687.4295,314161.5568,33.86381940835908,1
Tavares,irma,9/11/2017,24.38,48.1,2776,243603.5532,259501.7829,6.5262716783722166,0
Tavares,matthew,10/7/2016,21.25,31.1,2776,233181.3739,245208.6201,5.15789318796873,0
Tavares,michael,10/10/2018,13.87,35.1,2776,260987.9527,273391.6548,4.752595654964124,0
Vero Beach,charley,8/13/2004,12.75,25.9,350,331718.3019,404658.9121,21.98872048428269,1
Vero Beach,dennis,7/10/2005,14.76,33.1,350,398455.7125,505745.0095,26.926279040358835,0
Vero Beach,irma,9/10/2017,21.92,21.9,350,388826.8787,415861.767,6.952937098995876,0
Vero Beach,matthew,10/7/2016,24.83,55.0,350,370610.3524,391912.1082,5.747749803008483,0
Vero Beach,michael,10/9/2018,14.54,21.9,350,417970.8941,434714.6737,4.0059678404291095,0
West Palm Beach,charley,8/13/2004,12.75,31.1,158,337513.4241,408594.3455,21.06017607730465,0
West Palm Beach,dennis,7/10/2005,15.88,34.9,158,401684.3542,509416.8784,26.820194282787423,0
West Palm Beach,irma,9/10/2017,38.92,66.0,158,390818.9715,413213.8804,5.730251224510998,0
West Palm Beach,matthew,10/7/2016,19.69,31.1,158,375111.3104,393070.8116,4.787779174359973,0
West Palm Beach,michael,10/9/2018,13.65,23.0,158,414414.1815,434088.96,4.747612262878126,0
