NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2,HurricaneName
"LAND O LAKES 1.5 SSE, FL US",28.202699,-82.440046,10/7/2016,,,matthew
"VENICE 2.4 SSE, FL US",27.06392,-82.42131,10/7/2016,,,matthew
"ENGLEWOOD 2.5 WNW, FL US",26.973919,-82.39214,10/7/2016,,,matthew
"CAPE FLORIDA, FL US",25.6719,-80.1566,10/7/2016,,,matthew
"ORANGE PARK 4.8 SSW, FL US",30.1044,-81.736,10/7/2016,,,matthew
"FLEMING ISLAND 1.7 SE, FL US",30.0785,-81.6956,10/7/2016,,,matthew
"ORANGE PARK 3.0 WNW, FL US",30.180204,-81.752572,10/7/2016,,,matthew
"KEYSTONE HEIGHTS 3.5 ENE, FL US",29.798056,-81.978811,10/7/2016,,,matthew
"LAKESIDE 2.9 S, FL US",30.088475,-81.759942,10/7/2016,,,matthew
"KEYSTONE HEIGHTS 6.9 ENE, FL US",29.81717,-81.92745,10/7/2016,,,matthew
"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,10/7/2016,,,matthew
"CHIPLEY, FL US",30.7806,-85.5503,10/7/2016,,,matthew
"ARCADIA, FL US",27.21785,-81.8742,10/7/2016,,,matthew
"ORANGE PARK 0.7 NNE, FL US",30.177842,-81.698154,10/7/2016,,,matthew
"KEYSTONE HEIGHTS 9.1 NE, FL US",29.86772,-81.920039,10/7/2016,,,matthew
"ENGLEWOOD 2.0 NNW, FL US",26.986543,-82.365365,10/7/2016,,,matthew
"EVERGLADES, FL US",25.8489,-81.3896,10/7/2016,,,matthew
"LAKELAND 2, FL US",27.99437,-82.01378,10/7/2016,,,matthew
"NORTH PORT 4.7 NNE, FL US",27.113171,-82.165734,10/7/2016,,,matthew
"LAKE SARASOTA 4.0 ESE, FL US",27.26147,-82.38336,10/7/2016,,,matthew
"SARASOTA 5.8 SE, FL US",27.261,-82.4885,10/7/2016,,,matthew
"SARASOTA 1.4 E, FL US",27.34013939,-82.52347565,10/7/2016,,,matthew
"ENGLEWOOD 3.7 NNW, FL US",27.003679,-82.386879,10/7/2016,,,matthew
"PACE 2.4 N, FL US",30.633971,-87.15933,10/7/2016,,,matthew
"MIDDLEBURG 3.8 NW, FL US",30.086134,-81.949961,10/7/2016,,,matthew
"VENICE 4.8 SSE, FL US",27.031473,-82.412121,10/7/2016,,,matthew
"MIAMI BEACH, FL US",25.8063,-80.1334,10/7/2016,,,matthew
"KISSIMMEE 2, FL US",28.2763,-81.424,10/7/2016,,,matthew
"NORTH PORT 2.6 E, FL US",27.054479,-82.152672,10/7/2016,,,matthew
"POMPANO BEACH AIRPARK, FL US",26.24636,-80.11105,10/7/2016,16.11,30.0,matthew
"ST PETERSBURG ALBERT WHITTED AIRPORT, FL US",27.76847,-82.62568,10/7/2016,14.76,25.9,matthew
"HOLLYWOOD NORTH PERRY AIRPORT, FL US",25.99956,-80.24119,10/7/2016,15.66,25.9,matthew
"DUCK KEY, FL US",24.77048,-80.9073,10/7/2016,,,matthew
"KISSIMMEE PRAIRIE PRESERVE, FL US",27.6038,-81.053,10/7/2016,,,matthew
"ARCHBOLD BIO STATION, FL US",27.1819,-81.3508,10/7/2016,,,matthew
"BARTOW 1 SE, FL US",27.88608,-81.83251,10/7/2016,,,matthew
"LAKE WORTH 1.2 N, FL US",26.6362,-80.0558,10/7/2016,,,matthew
"SATSUMA 4.0 NE, FL US",29.5909,-81.6063,10/7/2016,,,matthew
"EAST PALATKA 3.5 NNW, FL US",29.696167,-81.626432,10/7/2016,,,matthew
"FLORAHOME 4.1 NNE, FL US",29.783161,-81.848668,10/7/2016,,,matthew
"INTERLACHEN 1.3 SW, FL US",29.604582,-81.914339,10/7/2016,,,matthew
"ORANGE PARK 4.1 WSW, FL US",30.144849,-81.766778,10/7/2016,,,matthew
"HIGH POINT 0.2 E, FL US",28.547031,-82.523102,10/7/2016,,,matthew
"ABERDEEN 4.2 NNW, FL US",26.607032,-80.172049,10/7/2016,,,matthew
"SUNSET 2.4 SW, FL US",25.683459,-80.381546,10/7/2016,,,matthew
"LAKE WORTH 1.0 NNW, FL US",26.633057,-80.066103,10/7/2016,,,matthew
"HILLSBOROUGH RVR ST PARK, FL US",28.1469,-82.2276,10/7/2016,,,matthew
"LINDGREN ACRES 0.5 WSW, FL US",25.6682,-80.4087,10/7/2016,,,matthew
"SUN VALLEY 0.8 SW, FL US",26.518,-80.145,10/7/2016,,,matthew
"NAVARRE 2.1 WNW, FL US",30.408899,-86.897846,10/7/2016,,,matthew
"SARASOTA 4.0 S, FL US",27.27793503,-82.55014038,10/7/2016,,,matthew
"MILTON 6.0 SW, FL US",30.5596,-87.10618,10/7/2016,,,matthew
"SPRING HILL 1.6 NNW, FL US",28.50283,-82.57426,10/7/2016,,,matthew
"GULF BREEZE 7.2 ENE, FL US",30.39767647,-87.05970764,10/7/2016,,,matthew
