RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31
394653,61,"Greenville, SC",msa,SC,249900.0,250000.0,257500.0,259923.0,264300.0,265000.0,264900.0,259000.0,259450.0,250000.0,253425.0,252900.0,249900.0,252650.0,260000.0,269000.0,269900.0,269000.0,261500.0,260000.0,261500.0,259900.0,259707.0,259900.0,258640.0,265514.0,265000.0,269000.0,269999.0,274900.0,274900.0,274900.0,273000.0,267700.0,269900.0,255000.0,249900.0,249900.0,250000.0,270000.0,272000.0,274900.0,275000.0,275900.0,297000.0,289000.0,281610.0,285000.0,289900.0,295000.0,298900.0,314673.0,319000.0,324900.0,324900.0,325000.0,320495.0,323750.0,325000.0,322960.0,315000.0,319900.0,324900.0
394312,62,"Albuquerque, NM",msa,NM,229900.0,235000.0,239000.0,245000.0,249900.0,250000.0,245000.0,244700.0,239900.0,240000.0,240500.0,245000.0,245000.0,249000.0,250000.0,250000.0,256283.0,255000.0,250000.0,254900.0,257500.0,254900.0,254900.0,254900.0,255500.0,260000.0,263000.0,265900.0,273000.0,284900.0,284900.0,279900.0,280000.0,275000.0,279900.0,279000.0,285000.0,285000.0,295000.0,299999.0,309000.0,300000.0,300000.0,300000.0,319500.0,325000.0,325000.0,319000.0,325000.0,330000.0,335000.0,340000.0,350000.0,355000.0,355000.0,360000.0,359000.0,350000.0,350000.0,350000.0,355788.0,365000.0,375000.0
394357,63,"Bakersfield, CA",msa,CA,249900.0,254900.0,261900.0,265000.0,265000.0,265000.0,265000.0,259900.0,255000.0,250000.0,250000.0,250000.0,249900.0,250000.0,259000.0,264900.0,265000.0,265000.0,265000.0,264800.0,259900.0,259550.0,257625.0,259900.0,259900.0,260000.0,265950.0,269900.0,271000.0,271450.0,279900.0,285000.0,294700.0,289900.0,295000.0,284500.0,280000.0,286700.0,289500.0,299900.0,305000.0,309000.0,315000.0,315000.0,315950.0,325000.0,329000.0,330000.0,339900.0,349000.0,350000.0,369000.0,380000.0,379900.0,379999.0,379900.0,375000.0,370980.0,364900.0,364900.0,360000.0,365000.0,369000.0
394308,64,"Albany, NY",msa,NY,211900.0,214900.0,214900.0,215700.0,219800.0,225000.0,229000.0,225000.0,225000.0,224900.0,227500.0,227150.0,224900.0,224900.0,229900.0,229900.0,230000.0,230995.0,232000.0,229900.0,229000.0,224900.0,224900.0,219900.0,215000.0,219000.0,219900.0,220000.0,224900.0,229900.0,239250.0,239000.0,230000.0,229000.0,229000.0,224900.0,230000.0,245000.0,250000.0,259900.0,275000.0,275000.0,275000.0,269900.0,265000.0,264900.0,262000.0,261250.0,256000.0,262500.0,270000.0,279777.0,296250.0,299900.0,299900.0,299000.0,299000.0,290000.0,283367.0,274900.0,274900.0,279900.0,299000.0
394753,65,"Knoxville, TN",msa,TN,225000.0,229900.0,237500.0,245000.0,249900.0,249900.0,240000.0,239900.0,239900.0,239000.0,235000.0,235000.0,229900.0,230000.0,238800.0,245000.0,250000.0,255000.0,259900.0,250000.0,249900.0,247900.0,244900.0,239900.0,242250.0,239900.0,249900.0,252250.0,255000.0,265000.0,269900.0,271250.0,262500.0,258950.0,249900.0,243700.0,239900.0,239900.0,249900.0,264900.0,274900.0,279900.0,279000.0,285000.0,289000.0,289900.0,290000.0,290500.0,295500.0,309950.0,325000.0,345450.0,350000.0,349900.0,359900.0,354000.0,352400.0,365000.0,365000.0,369000.0,365000.0,375000.0,385000.0
394367,66,"Baton Rouge, LA",msa,LA,220000.0,222500.0,228000.0,229900.0,235000.0,235000.0,234250.0,232000.0,235000.0,229900.0,230423.0,232400.0,230000.0,233400.0,239900.0,241943.0,245000.0,244900.0,240000.0,237338.0,230000.0,230000.0,231540.0,230000.0,229000.0,233900.0,236700.0,238000.0,238350.0,240650.0,248900.0,249950.0,257140.0,257000.0,250000.0,250000.0,250000.0,256300.0,257280.0,265000.0,265500.0,269000.0,265000.0,264900.0,265000.0,259900.0,262000.0,260000.0,255000.0,255000.0,265000.0,268500.0,269000.0,275000.0,274000.0,270000.0,274900.0,275000.0,275000.0,275000.0,275000.0,275000.0,276450.0
394843,67,"McAllen, TX",msa,TX,184950.0,183500.0,183000.0,189000.0,185000.0,189000.0,189900.0,189500.0,189900.0,185000.0,185000.0,185000.0,186348.0,189500.0,189900.0,195000.0,198000.0,199000.0,196500.0,195250.0,195000.0,195855.0,195000.0,195000.0,194000.0,189900.0,192000.0,198950.0,198000.0,199800.0,199800.0,200000.0,208500.0,215000.0,212900.0,204999.0,205000.0,210000.0,215000.0,220000.0,235000.0,229900.0,239000.0,240000.0,243750.0,240000.0,245000.0,239500.0,235000.0,230000.0,235000.0,239000.0,244900.0,245000.0,245000.0,245000.0,249500.0,250000.0,254900.0,255000.0,255000.0,258500.0,260000.0
394908,68,"New Haven, CT",msa,CT,241900.0,249900.0,264900.0,272000.0,278950.0,275000.0,269000.0,265000.0,264500.0,259900.0,259900.0,254900.0,249900.0,254700.0,265000.0,269900.0,269900.0,269900.0,265901.0,259900.0,259900.0,249900.0,249900.0,249000.0,248500.0,255000.0,265000.0,265000.0,270000.0,279900.0,280000.0,275000.0,279000.0,279900.0,274900.0,265000.0,260000.0,269900.0,269900.0,289900.0,299000.0,295000.0,290000.0,289900.0,292000.0,289900.0,285000.0,279900.0,280000.0,290000.0,299900.0,311500.0,319900.0,319000.0,324900.0,319900.0,319950.0,319250.0,309900.0,319900.0,315000.0,319900.0,329900.0
394561,69,"El Paso, TX",msa,TX,165000.0,166950.0,167000.0,168250.0,168500.0,169900.0,169500.0,168000.0,165000.0,165000.0,165000.0,169900.0,172999.0,178950.0,179000.0,183950.0,185000.0,183950.0,183950.0,185000.0,185000.0,185950.0,185950.0,185950.0,185000.0,183000.0,183950.0,184950.0,186950.0,187970.0,190000.0,192950.0,194450.0,199900.0,214408.0,214950.0,214072.0,202950.0,199500.0,195000.0,195000.0,205000.0,209000.0,205000.0,205000.0,219000.0,217500.0,224950.0,225000.0,224950.0,228000.0,235000.0,234973.0,235000.0,239000.0,244725.0,262720.0,268000.0,269973.0,273950.0,259950.0,269900.0,264475.0
394318,70,"Allentown, PA",msa,PA,195000.0,199900.0,209700.0,214900.0,219900.0,224000.0,219900.0,218000.0,215000.0,212950.0,209900.0,199900.0,199900.0,209450.0,215000.0,224900.0,226500.0,229900.0,229900.0,224975.0,224900.0,224000.0,224500.0,219900.0,219900.0,225000.0,235000.0,244900.0,242900.0,239900.0,240000.0,240000.0,249000.0,245000.0,239900.0,234900.0,234900.0,249900.0,249900.0,265000.0,274900.0,270000.0,269900.0,269900.0,269900.0,270000.0,265000.0,264900.0,265000.0,265000.0,284900.0,299900.0,300000.0,319900.0,315000.0,300000.0,309900.0,304000.0,305000.0,309000.0,300000.0,309000.0,319900.0
394952,71,"Oxnard, CA",msa,CA,689000.0,689859.0,699500.0,699000.0,699900.0,698000.0,699000.0,685000.0,670000.0,674000.0,664950.0,650000.0,655000.0,669250.0,675000.0,679950.0,685000.0,699000.0,699900.0,699900.0,719900.0,715000.0,699999.0,715000.0,699900.0,729000.0,749000.0,739000.0,739950.0,740000.0,759900.0,776000.0,770000.0,750000.0,739000.0,750000.0,750000.0,779000.0,779000.0,790000.0,799999.0,789000.0,799500.0,799000.0,812450.0,831000.0,829000.0,839000.0,850000.0,842498.0,874950.0,860000.0,875000.0,879000.0,874999.0,849900.0,850000.0,850000.0,849900.0,839250.0,849000.0,889475.0,890000.0
394486,72,"Columbia, SC",msa,SC,188900.0,189900.0,195000.0,202850.0,207000.0,212000.0,209900.0,208950.0,210000.0,209900.0,214900.0,219000.0,212517.0,214000.0,218273.0,219900.0,221000.0,219000.0,214900.0,214000.0,211100.0,209000.0,209900.0,209000.0,209752.0,214900.0,215000.0,224900.0,228500.0,234900.0,230000.0,230000.0,223900.0,221750.0,220000.0,219000.0,214900.0,219900.0,225000.0,225000.0,225000.0,225000.0,230000.0,235000.0,234900.0,235000.0,236200.0,238000.0,245000.0,249900.0,259900.0,265450.0,269900.0,275000.0,279000.0,275000.0,274900.0,275000.0,270000.0,268900.0,270000.0,274525.0,275000.0
753906,73,"North Port, FL",msa,FL,335000.0,338900.0,334900.0,334974.0,339000.0,339900.0,339900.0,335000.0,329900.0,330000.0,339000.0,339000.0,337500.0,339000.0,339900.0,349000.0,349000.0,349900.0,349900.0,344900.0,342500.0,339000.0,350000.0,355000.0,350000.0,349900.0,349900.0,349900.0,346950.0,349999.0,349000.0,349900.0,349900.0,349900.0,349225.0,360000.0,354900.0,360000.0,369900.0,389000.0,390000.0,399000.0,400000.0,410000.0,411000.0,430000.0,448000.0,449000.0,450000.0,465000.0,495000.0,525000.0,548275.0,549500.0,549000.0,539950.0,529000.0,520000.0,520000.0,525000.0,530000.0,539000.0,538700.0
845158,74,"Dayton, OH",msa,OH,125000.0,129900.0,136000.0,139900.0,144900.0,150000.0,149900.0,144900.0,139900.0,139900.0,139900.0,139900.0,139900.0,139900.0,149900.0,159900.0,160000.0,165000.0,164900.0,160500.0,159900.0,154943.0,157000.0,154500.0,154900.0,160000.0,174500.0,179250.0,184900.0,184900.0,179900.0,179900.0,179900.0,175700.0,169900.0,164900.0,169900.0,179000.0,170000.0,179900.0,189900.0,184950.0,185000.0,189900.0,180000.0,175000.0,169948.0,165000.0,169900.0,174900.0,195000.0,195500.0,205000.0,205000.0,209000.0,199900.0,200000.0,195000.0,199900.0,198992.0,190000.0,194900.0,200000.0
