City,HurricaneName,DATE,AWND,WSF2,SizeRank,before,after,percent,increase
Fort Lauderdale,michael,10/9/2018,14.99,25.1,190,175113.7441,191228.3984,9.202392640749888,0
Fort Myers,dennis,7/10/2005,14.32,23.9,106,95618.23398,127493.3776,33.33584222719191,1
Fort Myers,irma,9/9/2017,16.78,32.0,106,125410.5441,131564.8631,4.907337771449784,0
Fort Myers,matthew,10/8/2016,8.72,16.1,106,113632.389,125919.4314,10.812975515282009,0
Fort Myers,michael,10/11/2018,6.71,25.1,106,131927.836,138703.6276,5.135983281041612,0
Fort Pierce,charley,8/14/2004,6.04,6.9,529,44457.56749,55432.84682,24.687089172093607,1
Fort Pierce,dennis,7/10/2005,12.97,25.9,529,54741.09049,71316.17804,30.279059846328604,0
Fort Pierce,dennis,7/11/2005,5.37,14.1,529,54741.09049,71316.17804,30.279059846328604,0
Fort Pierce,irma,9/11/2017,17.45,44.1,529,62416.31962,78209.74185,25.30335387628228,1
Fort Pierce,michael,10/9/2018,15.43,21.9,529,79706.02938,93971.25035,17.897292188512218,1
Gainesville,dennis,7/11/2005,6.71,23.0,132,75077.85429,90372.68703,20.37196305707047,0
Gainesville,irma,9/11/2017,20.58,45.0,132,86985.70005,98462.15331,13.193494164446854,0
Gainesville,matthew,10/7/2016,19.24,33.1,132,77737.58487,88006.16695,13.209288785047884,0
Gainesville,michael,10/10/2018,13.87,23.9,132,99832.86763,108251.2294,8.432455132111489,0
Gainesville,michael,10/9/2018,9.62,18.1,132,99832.86763,108251.2294,8.432455132111489,0
Jacksonville,irma,9/9/2017,25.72,35.1,12,74368.7297,89549.52993,20.41288091276892,1
Jacksonville,michael,10/9/2018,20.36,33.1,12,90687.07496,107991.1522,19.08108431949364,1
Kendall West,charley,8/13/2004,11.41,25.9,1644,87739.5812,106056.8258,20.876831584420653,0
Kendall West,charley,8/14/2004,7.83,17.0,1644,87739.5812,106056.8258,20.876831584420653,0
Kendall West,dennis,7/10/2005,9.62,25.9,1644,104259.8174,130406.965,25.07883502201491,0
Kendall West,dennis,7/11/2005,7.38,14.1,1644,104259.8174,130406.965,25.07883502201491,0
Kendall West,irma,9/10/2017,37.13,46.1,1644,136486.5891,147914.0661,8.37260061618756,0
Kendall West,irma,9/9/2017,21.03,44.1,1644,136486.5891,147914.0661,8.37260061618756,0
Kendall West,michael,10/11/2018,5.59,15.0,1644,148896.0981,159605.5884,7.192592980379789,0
Kendall West,michael,10/9/2018,11.41,18.1,1644,148896.0981,159605.5884,7.192592980379789,0
Lakeland,irma,9/10/2017,21.92,51.0,105,77264.48355,91028.5548,17.814227983667138,1
Lakeland,irma,9/9/2017,15.88,21.0,105,77264.48355,91028.5548,17.814227983667138,1
Lakeland,matthew,10/7/2016,17.45,21.9,105,66503.10381,78224.20688,17.624896280762023,1
Lakeland,matthew,10/8/2016,8.05,14.1,105,66503.10381,78224.20688,17.624896280762023,1
Lakeland,michael,10/9/2018,12.08,16.1,105,92333.43871,109089.3258,18.147149422894056,1
Melbourne,dennis,7/11/2005,7.83,17.0,299,106806.4554,139570.4274,30.67602222852157,0
Melbourne,michael,10/9/2018,14.54,25.1,299,144551.544,154469.187,6.860973411671073,0
Miami,dennis,7/10/2005,11.86,21.0,20,104500.5725,132340.3656,26.640804384109952,0
Milton,irma,9/11/2017,16.33,25.1,704,76578.64366,87154.78209,13.81081973318407,0
Milton,irma,9/9/2017,11.41,23.0,704,76578.64366,87154.78209,13.81081973318407,0
