NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2
"ST AUGUSTINE AIRPORT, FL US",29.95917,-81.33972,9/29/2022,32.44,45
"MIAMI BEACH, FL US",25.8063,-80.1334,9/28/2022,,
"MIAMI BEACH, FL US",25.8063,-80.1334,9/29/2022,,
"KISSIMMEE 2, FL US",28.2763,-81.424,9/28/2022,,
"KISSIMMEE 2, FL US",28.2763,-81.424,9/29/2022,,
"POMPANO BEACH AIRPARK, FL US",26.24636,-80.11105,9/28/2022,24.16,40
"POMPANO BEACH AIRPARK, FL US",26.24636,-80.11105,9/29/2022,17.22,25.9
"ST PETERSBURG ALBERT WHITTED AIRPORT, FL US",27.76847,-82.62568,9/28/2022,35.34,53
"ST PETERSBURG ALBERT WHITTED AIRPORT, FL US",27.76847,-82.62568,9/29/2022,20.36,30
"HOLLYWOOD NORTH PERRY AIRPORT, FL US",25.99956,-80.24119,9/28/2022,20.13,33.1
"HOLLYWOOD NORTH PERRY AIRPORT, FL US",25.99956,-80.24119,9/29/2022,15.88,25.1
"KISSIMMEE PRAIRIE PRESERVE, FL US",27.6038,-81.053,9/28/2022,,
"KISSIMMEE PRAIRIE PRESERVE, FL US",27.6038,-81.053,9/29/2022,,
"ARCHBOLD BIO STATION, FL US",27.1819,-81.3508,9/28/2022,,
"ARCHBOLD BIO STATION, FL US",27.1819,-81.3508,9/29/2022,,
"BARTOW 1 SE, FL US",27.88608,-81.83251,9/28/2022,,
"BARTOW 1 SE, FL US",27.88608,-81.83251,9/29/2022,,
"HILLSBOROUGH RVR ST PARK, FL US",28.1469,-82.2276,9/28/2022,,
"HILLSBOROUGH RVR ST PARK, FL US",28.1469,-82.2276,9/29/2022,,
"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183,9/28/2022,,
"EVERGLADES CITY 5 NE, FL US",25.8996,-81.3183,9/29/2022,,
"TITUSVILLE 7 E, FL US",28.6159,-80.6929,9/28/2022,,
"TITUSVILLE 7 E, FL US",28.6159,-80.6929,9/29/2022,,
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.49529,-81.69374,9/28/2022,15.66,28
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.49529,-81.69374,9/29/2022,22.59,38
"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,9/28/2022,6.04,16.1
"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,9/29/2022,5.59,15
"LISBON, FL US",28.8728,-81.7844,9/28/2022,,
"LISBON, FL US",28.8728,-81.7844,9/29/2022,,
"MARIANNA MUNICIPAL AIRPORT, FL US",30.83696,-85.18352,9/28/2022,15.21,25.9
"MARIANNA MUNICIPAL AIRPORT, FL US",30.83696,-85.18352,9/29/2022,14.09,25.1
"PENSACOLA REGIONAL AIRPORT, FL US",30.47612,-87.18575,9/28/2022,11.41,21
"PENSACOLA REGIONAL AIRPORT, FL US",30.47612,-87.18575,9/29/2022,11.18,19.9
"MAYPORT PILOT STATION, FL US",30.4,-81.41667,9/28/2022,33.55,47
"MAYPORT PILOT STATION, FL US",30.4,-81.41667,9/29/2022,35.57,49
"PENSACOLA FOREST SHERMAN NAS, FL US",30.35,-87.31667,9/28/2022,14.76,29.1
"WAUCHULA, FL US",27.5477,-81.7994,9/28/2022,,
"WAUCHULA, FL US",27.5477,-81.7994,9/29/2022,,
"MOUNT PLYMOUTH 1 SSW, FL US",28.7991,-81.5373,9/28/2022,,
"MOUNT PLYMOUTH 1 SSW, FL US",28.7991,-81.5373,9/29/2022,,
"BAHIA HONDA STATE PARK, FL US",24.65953,-81.27448,9/28/2022,,
"BAHIA HONDA STATE PARK, FL US",24.65953,-81.27448,9/29/2022,,
"HIALEAH, FL US",25.8175,-80.2858,9/28/2022,,
"HIALEAH, FL US",25.8175,-80.2858,9/29/2022,,
"PERRINE 4 W, FL US",25.5819,-80.4361,9/28/2022,,
"PERRINE 4 W, FL US",25.5819,-80.4361,9/29/2022,,
"NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",29.0361,-80.918,9/28/2022,,
"NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",29.0361,-80.918,9/29/2022,,
"PERRY, FL US",30.09861,-83.57417,9/28/2022,,
"PERRY, FL US",30.09861,-83.57417,9/29/2022,,
"VERO BEACH 4 SE, FL US",27.6527,-80.403,9/28/2022,,
"VERO BEACH 4 SE, FL US",27.6527,-80.403,9/29/2022,,
"SOUTH BAY 15 S, FL US",26.47,-80.6402,9/28/2022,,
"SOUTH BAY 15 S, FL US",26.47,-80.6402,9/29/2022,,
"NORTH MIAMI BEACH NUMBER 2, FL US",25.95,-80.2158,9/28/2022,,
"NORTH MIAMI BEACH NUMBER 2, FL US",25.95,-80.2158,9/29/2022,,
"CENTRAL FLORIDA, FL US",29.105,-81.63,9/28/2022,,
"CENTRAL FLORIDA, FL US",29.105,-81.63,9/29/2022,,
"RACCOON POINT FLORIDA, FL US",25.9708,-80.9,9/28/2022,,
"RACCOON POINT FLORIDA, FL US",25.9708,-80.9,9/29/2022,,
"JACKSONVILLE BEACH, FL US",30.2875,-81.3927,9/28/2022,,
"JACKSONVILLE BEACH, FL US",30.2875,-81.3927,9/29/2022,,
"PLANT CITY, FL US",28.02084,-82.13855,9/28/2022,,
"PLANT CITY, FL US",28.02084,-82.13855,9/29/2022,,
"TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US",27.70532,-82.40092,9/28/2022,,
"TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US",27.70532,-82.40092,9/29/2022,,
"CACHE FLORIDA, FL US",25.3903,-80.6803,9/28/2022,,
"CACHE FLORIDA, FL US",25.3903,-80.6803,9/29/2022,,
