City,HurricaneName,SizeRank,before,after,percent,increase
Tarpon Springs,charley,1796,164628.1841,192580.3058,16.978940667304602,0
Parkland,charley,1802,461907.7215,539633.7726,16.82718159540445,0
Arcadia,charley,1809,86392.18318,105652.6249,22.294194927185064,0
Navarre,charley,1868,171475.7002,215439.9964,25.638790889159473,1
West Little River,charley,1872,98103.7332,120736.0939,23.069826154179427,1
Dunedin,charley,1879,136295.888,159650.7368,17.135402353444444,0
Bartow,charley,1903,87913.11094,96468.95084,9.732154633726134,0
Estero,charley,1911,311719.5188,357004.9879,14.527633455335613,0
Inverness,charley,1954,94094.80728,108766.2624,15.592204866674352,0
Cooper City,charley,1956,288167.5889,343501.538,19.202003011935542,0
Palm City,charley,2064,282139.9877,340998.5857,20.861487405530216,0
Dania Beach,charley,2071,135608.8299,161706.9295,19.245132945432182,0
Cantonment,charley,2085,132297.7241,150589.0259,13.825862783681867,0
Miami Lakes,charley,2105,273194.7085,337450.7624,23.520241022530637,1
Ruskin,charley,2108,148771.8985,173535.3171,16.64522591274183,0
Fleming Island,charley,2118,211633.086,234648.6153,10.875203747678656,0
Green Cove Springs,charley,2129,134238.0997,148149.3474,10.363114295486417,0
Englewood,charley,2135,154150.3328,191105.2848,23.973319634636553,1
Holiday,charley,2154,95564.63502,114307.2905,19.612543359871037,0
Ponte Vedra Beach,charley,2164,336918.1872,382789.7023,13.6150308421225,0
Temple Terrace,charley,2178,132992.8305,155782.2687,17.13583966468025,0
Crawfordville,charley,2197,127514.4284,154618.6962,21.255843860254483,0
Immokalee,charley,2208,146726.3938,168287.7842,14.694963763227175,0
Sebastian,charley,2240,147088.7149,186729.9812,26.950583072909843,1
Niceville,charley,2251,187777.6302,242975.6406,29.39541325620585,1
Mount Dora,charley,2259,158877.9374,183588.0194,15.552871848901532,0
Citrus Park,charley,2319,177080.0795,206021.7661,16.343840979583486,0
Odessa,charley,2326,254113.6283,298571.1136,17.49512042994979,0
Seffner,charley,2373,155268.8824,179636.676,15.693932501700033,0
Wildwood,charley,2381,105656.0728,119722.8188,13.31371271637876,0
East Lake-Orient Park,charley,2382,102760.3642,116355.7879,13.230221404762208,0
University Park,charley,2392,238805.4864,294098.8998,23.154163764639545,1
Edgewater,charley,2412,126980.4715,156999.1433,23.640384576773286,1
Wimauma,charley,2430,185832.7643,214282.2272,15.309174895591854,0
Groveland,charley,2436,156304.938,185344.0331,18.578488607954284,0
Homosassa,charley,2437,132197.9617,153154.8969,15.852691622854254,0
Ives Estates,charley,2495,112228.9074,137034.8841,22.10301897673112,0
Sun City Center,charley,2498,130671.3185,156418.0781,19.703451297156708,0
Parrish,charley,2529,214170.4298,248816.667,16.176947131475558,0
Village of Palmetto Bay,charley,2633,410009.4069,495904.1118,20.949447367423318,0
Mulberry,charley,2635,101145.2603,113043.7527,11.763766650764163,0
Oak Ridge,charley,2639,97836.98877,116008.4698,18.57322190559076,0
Defuniak Springs,charley,2640,72881.5108,86682.36893,18.936020917392938,0
Hialeah Gardens,charley,2663,137334.7078,164207.7402,19.56754620189318,0
Miami Shores,charley,2717,338599.425,431514.858,27.441107733718102,1
Tavares,charley,2776,122114.2066,142798.5808,16.938548573430268,0
Greater Northdale,charley,2786,188609.0318,217739.7215,15.44501311628069,0
Lynn Haven,charley,2797,155600.7071,187406.4808,20.440635709681803,0
Orange City,charley,2815,112483.7657,137096.7404,21.881357320170164,0
Apollo Beach,charley,2851,204387.6375,252649.8877,23.61309656020657,1
The Crossings,charley,2855,214817.3278,256619.3478,19.459333391819612,0
Debary,charley,2870,181523.6349,216181.4158,19.092709838634896,0
West Melbourne,charley,2904,180420.8841,239373.1679,32.674866933544756,1
Pace,charley,2913,130363.1315,150553.5229,15.487807915998095,0
Palm River-Clair Mel,charley,2931,87314.07642,98533.87788,12.849934306159613,0
Labelle,charley,2980,70780.05482,86671.80663,22.452302206340676,0
Gulf Breeze,charley,2997,169398.5839,210637.6417,24.344393471638703,1
Dade City,charley,3053,94089.09542,105282.6201,11.896728978032726,0
Maitland,charley,3078,190289.8235,218153.7649,14.642896234542995,0
Yulee,charley,3096,151670.7759,171131.5682,12.830943986751242,0
Palm Springs,charley,3105,89304.52999,108590.8182,21.59609172363329,0
Oldsmar,charley,3126,141478.3572,163025.6108,15.230070539722096,0
Hobe Sound,charley,3143,211846.2464,262149.7188,23.745274346291165,1
Jacksonville Beach,charley,3158,258795.762,302988.5164,17.07630529127445,0
Jensen Beach,charley,3210,180595.6332,225262.4717,24.733066746156506,1
Clewiston,charley,3236,74553.33385,88695.32826,18.96896312974205,0
Sunny Isles Beach,charley,3322,269029.8696,332495.0596,23.590387972295254,1
Belle Glade,charley,3371,98866.85965,109423.9069,10.678044480600638,0
