City,HurricaneName,SizeRank,before,after,percent,increase
Fleming Island,charley,2118,129506.5001,144051.41,11.231026928199721,0
Green Cove Springs,charley,2129,75080.15192,84374.55345,12.379305705059638,0
Englewood,charley,2135,81373.97343,102965.4523,26.53364209697042,1
Holiday,charley,2154,41948.75411,51007.57008,21.594958329979338,0
Ponte Vedra Beach,charley,2164,141618.2202,161687.4956,14.171393604337911,0
Temple Terrace,charley,2178,70195.14504,81556.3443,16.18516387924824,0
Crawfordville,charley,2197,65275.83365,79753.002,22.17845033986784,0
Immokalee,charley,2208,42889.77975,51722.79058,20.594675191821192,0
Sebastian,charley,2240,94634.3339,122557.5637,29.50644723669366,1
Niceville,charley,2251,107169.7406,138330.5503,29.076126829777916,1
Mount Dora,charley,2259,78889.83217,91938.49056,16.540355114308532,0
Citrus Park,charley,2319,113791.6487,132569.2069,16.501701499646153,0
Odessa,charley,2326,145985.9368,174150.079,19.29236666034807,0
Seffner,charley,2373,94143.96738,109212.1108,16.00542641163546,0
Wildwood,charley,2381,26171.16972,30448.50528,16.34369271898176,0
East Lake-Orient Park,charley,2382,41045.31364,46934.51794,14.34805530213022,0
University Park,charley,2392,119173.1413,144525.9923,21.273963850779193,0
Edgewater,charley,2412,73208.76176,92641.27788,26.54397595701119,1
Wimauma,charley,2430,94025.37427,109545.698,16.50652693541254,0
Groveland,charley,2436,82901.02258,98913.16271,19.314767938535603,0
Homosassa,charley,2437,64066.74647,75272.43875,17.490652947777203,0
Ives Estates,charley,2495,78701.99407,97188.13781,23.488786984936937,0
Sun City Center,charley,2498,79275.33369,94744.16917,19.5127976887359,0
Parrish,charley,2529,132668.4445,156198.8739,17.736266893518895,0
Village of Palmetto Bay,charley,2633,240060.1999,292053.2043,21.658319213954787,0
Mulberry,charley,2635,49666.70145,55384.33517,11.512006139074892,0
Oak Ridge,charley,2639,44745.58386,53755.0926,20.134967437655877,0
Defuniak Springs,charley,2640,28013.07814,33818.51044,20.724007090496755,0
Hialeah Gardens,charley,2663,87569.08939,104027.9456,18.795280760198864,0
Miami Shores,charley,2717,156145.2503,199298.6829,27.636724471022863,1
Tavares,charley,2776,69219.95069,80156.16329,15.79922044292921,0
Greater Northdale,charley,2786,128950.7957,148548.1823,15.197569346987738,0
Lynn Haven,charley,2797,88715.80608,108401.2345,22.18931359565009,0
Orange City,charley,2815,64383.42728,78856.32734,22.479232112105727,0
Apollo Beach,charley,2851,109991.4001,133317.0858,21.206826787178976,0
The Crossings,charley,2855,123231.4406,146826.3062,19.146790368691015,0
Debary,charley,2870,90446.7557,108386.9531,19.835092216580197,0
West Melbourne,charley,2904,105708.8475,141054.7118,33.436997125524414,1
Palm River-Clair Mel,charley,2931,41374.73144,48268.62862,16.662095293590625,0
Gulf Breeze,charley,2997,97735.97765,121294.0524,24.103789941471977,1
Dade City,charley,3053,29655.83581,34317.58966,15.719515982847618,0
Maitland,charley,3078,78274.06263,89902.78407,14.856417374129075,0
Yulee,charley,3096,92320.43378,107927.2545,16.905055664265088,0
Palm Springs,charley,3105,45917.02151,55990.25592,21.937909034030472,0
Oldsmar,charley,3126,80998.20501,94817.67594,17.06145331034663,0
Hobe Sound,charley,3143,106849.7336,130666.1242,22.289611585891684,0
Jacksonville Beach,charley,3158,124102.6872,146910.2117,18.377945727512028,0
Jensen Beach,charley,3210,72593.76387,91291.26894,25.756351610977575,1
Clewiston,charley,3236,19931.02395,23802.89094,19.426332534209827,0
Belle Glade,charley,3371,33000.72383,35998.47764,9.083903206010358,0
North Palm Beach,charley,3397,107887.1984,134037.3753,24.238442825298186,1
Carol City,charley,3402,110885.7982,134143.1724,20.9741685387444,0
Callahan,charley,3452,72802.37041,84069.92848,15.476910994167723,0
Dover,charley,3509,86225.59895,100823.2375,16.929587880815763,0
Beverly Hills,charley,3519,52035.15625,61475.00857,18.141297154267694,0
Pinecrest,charley,3524,333697.348,400742.1337,20.091494913528653,0
Polk City,charley,3532,40777.32318,48397.15671,18.686448584092673,0
Nokomis,charley,3572,132678.6793,164563.1088,24.031313597798228,1
Hernando,charley,3573,67430.0251,78063.52396,15.769679522186633,0
Glenvar Heights,charley,3593,89470.3745,112637.7859,25.893947051713745,1
Crystal River,charley,3603,56677.75665,66286.15989,16.95268798187338,0
Gibsonton,charley,3626,91794.51323,104656.1882,14.011376625282429,0
Ojus,charley,3643,52728.89432,65551.11744,24.317261504071688,1
Starke,charley,3651,31294.01716,38592.83227,23.323356259065843,0
Brownsville,charley,3676,41363.62759,50391.91719,21.82663882744817,0
Alachua,charley,3779,70654.65757,80761.5219,14.304597428678772,0
Satellite Beach,charley,3855,147131.1324,196596.0859,33.61963759343703,1
Pinewood,charley,3863,63197.45925,81235.99676,28.543137214808194,1
Lake Butler,charley,3974,45147.40921,56874.32421,25.974724142980342,1
Opa-locka,charley,4119,35072.91471,42936.58454,22.420919091044105,0
West Park,charley,4161,58173.03847,74394.35537,27.884596243611004,1
Fruitland Park,charley,4177,61593.13639,70715.26456,14.810299823408613,0
Lady Lake,charley,4208,65517.62569,75331.2319,14.978574248758003,0
Safety Harbor,charley,4218,102234.284,119359.6591,16.7511077790695,0
Sorrento,charley,4244,95168.73898,113138.2232,18.88170886006627,0
Gladeview,charley,4296,30272.62543,38103.29593,25.867166751384076,1
Miami Springs,charley,4319,177058.3261,223227.3085,26.07557826674834,1
Thonotosassa,charley,4364,66163.18544,78358.01787,18.43144695785372,0
Mims,charley,4410,66462.85631,84062.50561,26.48042873437557,1
Holly Hill,charley,4411,45701.22262,56090.64477,22.73335712785357,0
Santa Rosa Beach,charley,4452,137971.1466,179317.0412,29.967058779230292,1
Westview,charley,4467,66762.90738,82968.83973,24.273856525988823,1
South Daytona,charley,4502,63826.77304,78208.20853,22.5319796145533,0
Sweetwater,charley,4571,99146.77912,119721.4491,20.751728056740923,0
Keystone Heights,charley,4573,38993.55262,46899.41018,20.27478141590269,0
Williston,charley,4620,41216.08352,49448.43563,19.973639916575944,0
Conway,charley,4631,105869.9213,125206.7986,18.264750802265866,0
Wauchula,charley,4645,36216.51142,43430.29896,19.918504729354733,0
Southwest Ranches,charley,4647,295818.2351,359644.9208,21.57631887649648,0
Lecanto,charley,4687,79814.47162,94248.96527,18.085058206891635,0
Ellenton,charley,4690,99092.71542,117683.425,18.760924555558024,0
Newberry,charley,4785,85876.78641,96781.85081,12.698500789184344,0
Frostproof,charley,4797,24737.84901,28031.62956,13.314741102464184,0
Florida City,charley,4873,33459.19429,44853.17904,34.05337454107597,1
Gulfport,charley,4887,63394.10076,80203.5392,26.515777080958784,1
Marco Island,charley,4962,215313.106,277356.8405,28.815586590441917,1
South Miami,charley,5035,140261.5006,173307.3457,23.560167942478156,0
Doctor Phillips,charley,5084,162027.2797,190481.2666,17.561232252176104,0
Trenton,charley,5123,38191.12567,47244.51873,23.70548890919874,1
Wilton Manors,charley,5144,92804.73807,115024.1571,23.94211706436853,1
Callaway,charley,5168,57766.60092,69895.39299,20.99620174432101,0
High Springs,charley,5170,58039.90578,70432.87413,21.352495638045117,0
Cocoa Beach,charley,5222,106560.3825,139191.7011,30.622373751332955,1
Pine Castle,charley,5277,71945.53944,85234.88198,18.471391893701554,0
Westwood Lake,charley,5287,178054.4551,219945.6631,23.527188902110215,0
Webster,charley,5294,30301.09679,36873.15498,21.68917592504083,0
Old Town,charley,5310,15977.20244,20712.13154,29.635532990092102,1
Lighthouse Point,charley,5323,106585.7571,129577.2479,21.570884727524255,0
Indiantown,charley,5355,15449.62607,20844.31086,34.91789876051027,1
Tequesta,charley,5378,113774.6682,135169.5767,18.804632734582658,0
Westgate-Belvedere Homes,charley,5429,48983.62534,62737.49694,28.078508898704552,1
Atlantic Beach,charley,5474,112828.1197,133936.3543,18.708310176687284,0
Lake Alfred,charley,5477,52171.27677,60493.50075,15.95173531345417,0
Madison,charley,5482,23113.96538,28447.8565,23.076486584233173,0
Archer,charley,5490,49505.8408,55835.29479,12.785267127510341,0
Fort White,charley,5516,29807.47047,36235.89446,21.566486148061266,0
Jasper,charley,5595,23178.71033,29458.74608,27.093982627117107,1
Bunnell,charley,5642,38698.04662,50960.14345,31.68660410797759,1
Umatilla,charley,5681,41688.44766,48539.29544,16.43344419027956,0
Alva,charley,5688,31691.96917,39601.99386,24.959082370582784,1
Fort Meade,charley,5720,26889.70047,28408.58702,5.6485811424138905,0
