City,HurricaneName,DATE,AWND,WSF2,SizeRank,before,after,percent,increase
Fort Myers,michael,10/11/2018,6.71,25.1,106,367599.0892,374571.4371,1.8967261086456448,0
Fort Myers,michael,10/10/2018,14.32,25.9,106,367599.0892,374571.4371,1.8967261086456448,0
Fort Myers,michael,10/9/2018,11.63,23.0,106,367599.0892,374571.4371,1.8967261086456448,0
Fort Pierce,charley,8/13/2004,11.41,23.9,529,189617.9706,234681.7573,23.76556744986068,1
Fort Pierce,charley,8/14/2004,6.04,6.9,529,189617.9706,234681.7573,23.76556744986068,1
Fort Pierce,dennis,7/10/2005,12.97,25.9,529,231726.6228,295811.4208,27.65534543491393,0
Fort Pierce,dennis,7/11/2005,5.37,14.1,529,231726.6228,295811.4208,27.65534543491393,0
Fort Pierce,ian,9/28/2022,50.039453,100.6605,529,238822.3797,257475.1745,7.8103211363319325,1
Fort Pierce,irma,9/11/2017,17.45,44.1,529,219812.9603,237151.374,7.887803192467175,1
Fort Pierce,irma,9/10/2017,31.32,70.9,529,219812.9603,237151.374,7.887803192467175,1
Fort Pierce,irma,9/9/2017,10.74,31.1,529,219812.9603,237151.374,7.887803192467175,1
Fort Pierce,matthew,10/7/2016,22.59,42.9,529,202473.6302,221122.5997,9.210567065735347,1
Fort Pierce,matthew,10/8/2016,9.62,19.9,529,202473.6302,221122.5997,9.210567065735347,1
Fort Pierce,michael,10/11/2018,7.83,17.0,529,238822.3797,257475.1745,7.8103211363319325,1
Fort Pierce,michael,10/10/2018,10.51,19.9,529,238822.3797,257475.1745,7.8103211363319325,1
Fort Pierce,michael,10/9/2018,15.43,21.9,529,238822.3797,257475.1745,7.8103211363319325,1
Gainesville,charley,8/13/2004,5.37,19.9,132,231214.6597,262351.7533,13.466747151932424,0
Gainesville,charley,8/14/2004,4.92,12.1,132,231214.6597,262351.7533,13.466747151932424,0
Gainesville,dennis,7/10/2005,12.75,23.0,132,261448.4782,310672.0313,18.82724789177984,0
Gainesville,dennis,7/11/2005,6.71,23.0,132,261448.4782,310672.0313,18.82724789177984,0
Gainesville,ian,9/29/2022,42.523469,69.56759,132,297086.5651,309226.1863,4.086223554375059,0
Gainesville,irma,9/11/2017,20.58,45.0,132,279545.3858,295460.4208,5.693184652093096,0
Gainesville,irma,9/10/2017,17.9,36.0,132,279545.3858,295460.4208,5.693184652093096,0
Gainesville,irma,9/9/2017,10.29,29.1,132,279545.3858,295460.4208,5.693184652093096,0
Gainesville,matthew,10/7/2016,19.24,33.1,132,267602.7076,281494.5111,5.19120438824737,0
Gainesville,matthew,10/8/2016,9.17,21.9,132,267602.7076,281494.5111,5.19120438824737,0
Gainesville,michael,10/11/2018,11.18,21.0,132,297086.5651,309226.1863,4.086223554375059,0
Gainesville,michael,10/10/2018,13.87,23.9,132,297086.5651,309226.1863,4.086223554375059,0
Gainesville,michael,10/9/2018,9.62,18.1,132,297086.5651,309226.1863,4.086223554375059,0
Jacksonville,charley,8/13/2004,4.7,23.0,12,219711.2386,249137.7656,13.393273456335612,0
Jacksonville,charley,8/14/2004,5.37,23.9,12,219711.2386,249137.7656,13.393273456335612,0
Jacksonville,charley,8/13/2004,5.59,21.0,12,219711.2386,249137.7656,13.393273456335612,0
Jacksonville,charley,8/14/2004,6.49,19.9,12,219711.2386,249137.7656,13.393273456335612,0
Jacksonville,dennis,7/10/2005,14.76,25.9,12,246642.7616,289831.0195,17.510450183022925,0
Jacksonville,dennis,7/11/2005,7.83,23.9,12,246642.7616,289831.0195,17.510450183022925,0
Jacksonville,dennis,7/10/2005,14.54,23.0,12,246642.7616,289831.0195,17.510450183022925,0
Jacksonville,dennis,7/11/2005,8.05,17.0,12,246642.7616,289831.0195,17.510450183022925,0
Jacksonville,ian,9/29/2022,54.535622,78.51519,12,275151.6187,289155.4324,5.089489847874916,0
Jacksonville,ian,9/29/2022,50.531571,85.0022,12,275151.6187,289155.4324,5.089489847874916,0
Jacksonville,ian,9/29/2022,74.555877,95.96301,12,275151.6187,289155.4324,5.089489847874916,0
Jacksonville,ian,9/29/2022,36.036459,65.09379,12,275151.6187,289155.4324,5.089489847874916,0
Jacksonville,irma,9/11/2017,26.4,46.1,12,258411.0928,273824.5035,5.964686164587118,0
