City,HurricaneName,SizeRank,before,after,percent,increase
New Smyrna Beach,charley,1724,355844.2125,434237.6031,22.03025589463535,1
Golden Glades,charley,1730,243520.5661,301333.4761,23.740463044201192,1
Greater Carrollwood,charley,1741,295667.923,340285.2801,15.090361053471451,0
Lauderdale Lakes,charley,1770,130721.2368,157248.788,20.29322231749264,0
Auburndale,charley,1786,183733.1054,206600.424,12.445943560479328,0
Tarpon Springs,charley,1796,329863.3072,384138.9014,16.45396532906646,0
Parkland,charley,1802,769881.5092,895563.3954,16.324835016572713,0
Arcadia,charley,1809,182219.0896,222705.5144,22.218541915050803,1
Navarre,charley,1868,265449.8614,330314.005,24.435553764429283,1
West Little River,charley,1872,181941.542,218807.0517,20.26228276112996,0
Dunedin,charley,1879,270390.4181,315370.1013,16.635087706164526,0
Bartow,charley,1903,162526.9163,180035.0787,10.772469446034767,0
Estero,charley,1911,486907.1496,554468.8384,13.875682223089706,0
Inverness,charley,1954,166753.3871,191916.2308,15.089854627606542,0
Cooper City,charley,1956,422779.7632,503754.4032,19.152912946236313,0
Palm City,charley,2064,509805.3113,611193.2364,19.887577248158035,0
Dania Beach,charley,2071,243781.0578,293507.2199,20.397877730432924,0
Cantonment,charley,2085,204787.0548,232714.0891,13.637109204619508,0
Miami Lakes,charley,2105,442976.99,551406.0804,24.477364027418215,1
Ruskin,charley,2108,249837.9852,294550.0841,17.896437510976206,0
Fleming Island,charley,2118,326606.8381,362378.7325,10.952585869940483,0
Green Cove Springs,charley,2129,230863.9978,257203.7688,11.409215490939566,0
Englewood,charley,2135,322899.3524,395328.9159,22.431003023591092,1
Holiday,charley,2154,153238.7274,182713.3306,19.234434858664837,0
Ponte Vedra Beach,charley,2164,693372.0896,790256.1103,13.972875769471987,0
Temple Terrace,charley,2178,235154.9682,275713.6556,17.247642144436732,0
Crawfordville,charley,2197,203557.1535,246899.4843,21.292462610507094,0
Immokalee,charley,2208,334298.1434,391550.0065,17.125988950377167,0
Sebastian,charley,2240,228706.4439,285981.2136,25.042919090221577,1
Niceville,charley,2251,311075.3758,396450.5433,27.445170573350165,1
Mount Dora,charley,2259,251830.0589,290339.6852,15.291910135037497,0
Citrus Park,charley,2319,271627.4528,315348.0823,16.09580660913225,0
Odessa,charley,2326,423542.8951,494932.8693,16.855429526953714,0
Seffner,charley,2373,232378.3216,268994.8043,15.757271352974616,0
Wildwood,charley,2381,198008.1117,223284.3659,12.765261979921197,0
East Lake-Orient Park,charley,2382,173233.2972,193204.1585,11.528304097879856,0
University Park,charley,2392,375818.3582,455856.3691,21.29699338886633,0
Edgewater,charley,2412,191338.3954,234191.6101,22.396557998938867,1
Wimauma,charley,2430,287295.2122,334644.519,16.481063654843588,0
Groveland,charley,2436,263641.9117,312472.5483,18.52157583182933,0
Homosassa,charley,2437,221448.7082,254213.5366,14.795673755029833,0
Ives Estates,charley,2495,254616.9147,312176.7037,22.6064278046175,1
Sun City Center,charley,2498,210203.5556,246523.6591,17.27853907909824,0
Parrish,charley,2529,333468.3367,389545.9443,16.816471439220752,0
Village of Palmetto Bay,charley,2633,617322.564,746305.9689,20.894004596922517,0
Mulberry,charley,2635,174519.3432,195273.3042,11.89206916520186,0
Oak Ridge,charley,2639,166206.1638,194102.4958,16.784174161897113,0
Defuniak Springs,charley,2640,171159.7573,197989.9314,15.67551539172462,0
Hialeah Gardens,charley,2663,225341.1381,270527.0596,20.052229202795512,0
Miami Shores,charley,2717,529196.3279,682427.7385,28.955493929458147,1
Tavares,charley,2776,205000.0376,238537.1713,16.359574414048776,0
Greater Northdale,charley,2786,261229.2516,300749.8757,15.12871313527891,0
Lynn Haven,charley,2797,239627.7352,288750.8294,20.499753152113417,0
Orange City,charley,2815,183454.606,222077.4969,21.053105038965334,0
