NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2,HurricaneName
"BROOKSVILLE 1.2 E, FL US",28.55534,-82.373572,9/11/2017,,,irma
"SPRING HILL 2.4 NW, FL US",28.495454,-82.6018,9/11/2017,,,irma
"CRESCENT CITY 2.0 N, FL US",29.466098,-81.520957,9/11/2017,,,irma
"PANAMA CITY 5 N, FL US",30.2491,-85.6605,9/11/2017,,,irma
"LUTZ 3.4 NE, FL US",28.171446,-82.422326,9/11/2017,,,irma
"ZEPHYRHILLS 0.9 ENE, FL US",28.241976,-82.163851,9/11/2017,,,irma
"NAVAL LIVE OAKS FLORIDA, FL US",30.3664,-87.1375,9/11/2017,,,irma
"LINDGREN ACRES 0.7 SW, FL US",25.6633578,-80.4096612,9/11/2017,,,irma
"DADE CITY 1.8 WSW, FL US",28.352214,-82.222508,9/11/2017,,,irma
"CUTLER RIDGE 1.7 SSW, FL US",25.560043,-80.357536,9/11/2017,,,irma
"BISCAYNE PARK 0.3 E, FL US",25.881971,-80.176893,9/11/2017,,,irma
"SOUTH MIAMI 0.5 N, FL US",25.715589,-80.296772,9/11/2017,,,irma
"DE FUNIAK SPRINGS 2.9 N, FL US",30.76166667,-86.12277778,9/11/2017,,,irma
"INLET BEACH 0.7 E, FL US",30.276034,-85.996513,9/11/2017,,,irma
"MOUNTAIN LAKE, FL US",27.93779,-81.59928,9/11/2017,,,irma
"PORT RICHEY 2.0 NNE, FL US",28.3014,-82.7146,9/11/2017,,,irma
"PALMETTO BAY 0.6 WNW, FL US",25.625683,-80.333095,9/11/2017,,,irma
"GAINESVILLE 3.8 W, FL US",29.680193,-82.398823,9/11/2017,,,irma
"VERO BEACH 1.5 WSW, FL US",27.641405,-80.417429,9/11/2017,,,irma
"PORT CHARLOTTE 6.2 W, FL US",26.980545,-82.209412,9/11/2017,,,irma
"MICANOPY 8.5 W, FL US",29.5093,-82.4222,9/11/2017,,,irma
"LADY LAKE 4.3 SSW, FL US",28.869917,-81.954389,9/11/2017,,,irma
"HIGH SPRINGS 3.2 SW, FL US",29.786949,-82.627651,9/11/2017,,,irma
"THE VILLAGES 3.5 WSW, FL US",28.93096,-82.006,9/11/2017,,,irma
"PENSACOLA 1.9 NE, FL US",30.466405,-87.171483,9/11/2017,,,irma
"THE VILLAGES 4.8 SSW, FL US",28.868717,-81.984241,9/11/2017,,,irma
"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,9/11/2017,26.4,46.1,irma
"PENSACOLA 18.9 WSW, FL US",30.312955,-87.467244,9/11/2017,,,irma
"HOMESTEAD 3.0 NW, FL US",25.4897,-80.4911,9/11/2017,,,irma
"ZEPHYRHILLS NORTH 2.3 N, FL US",28.2839,-82.16144,9/11/2017,,,irma
"BROOKER 6.6 SSE, FL US",29.80059,-82.283616,9/11/2017,,,irma
"CUTLER RIDGE 1.5 SSW, FL US",25.56100464,-80.35260773,9/11/2017,,,irma
"VERO BEACH 2.4 W, FL US",27.643772,-80.433882,9/11/2017,,,irma
"VERNON 10.6 WSW, FL US",30.567783,-85.87305,9/11/2017,,,irma
"PORT CHARLOTTE 1.9 ENE, FL US",26.99603,-82.079741,9/11/2017,,,irma
"PERRY 2.0 S, FL US",30.080322,-83.586422,9/11/2017,,,irma
"CENTURY 12.1 W, FL US",30.96403,-87.46575,9/11/2017,,,irma
"PENSACOLA 9.2 NW, FL US",30.52816,-87.30888,9/11/2017,,,irma
"THE VILLAGES 2.8 ESE, FL US",28.903275,-81.965788,9/11/2017,,,irma
"PENSACOLA 2.3 NE, FL US",30.47019,-87.16594,9/11/2017,,,irma
"JUNO BEACH, FL US",26.86,-80.0552,9/11/2017,,,irma
"OXFORD 1.2 ENE, FL US",28.93628508,-82.0210062,9/11/2017,,,irma
"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,9/11/2017,,,irma
"BUSHNELL 1.0 NNW, FL US",28.6785,-82.1205,9/11/2017,,,irma
"DESOTO CITY, FL US",27.3697,-81.5136,9/11/2017,,,irma
"CHEKIKA FLORIDA, FL US",25.625,-80.5797,9/11/2017,,,irma
"VERO BEACH 5.3 W, FL US",27.640879,-80.480391,9/11/2017,,,irma
"GAINESVILLE 6.5 NW, FL US",29.737964,-82.416213,9/11/2017,,,irma
"LAKE PLACID 1.1 WSW, FL US",27.2877,-81.3853,9/11/2017,,,irma
"GONZALEZ 2.5 NNW, FL US",30.60403,-87.31218,9/11/2017,,,irma
"HOLIDAY 0.6 E, FL US",28.187464,-82.73213,9/11/2017,,,irma
"LAND O LAKES 1.8 SE, FL US",28.20266,-82.43405,9/11/2017,,,irma
"BUSHNELL 1 E, FL US",28.66641,-82.08947,9/11/2017,,,irma
"DADE CITY 4.1 SSE, FL US",28.305428,-82.174041,9/11/2017,,,irma
"SEBASTIAN 1.7 SSE, FL US",27.763426,-80.474196,9/11/2017,,,irma
"VERO BEACH 3.4 W, FL US",27.642899,-80.44938,9/11/2017,,,irma
"GAINESVILLE 1.7 SE, FL US",29.65547,-82.31708,9/11/2017,,,irma
"MAYO, FL US",30.1063,-83.1819,9/11/2017,,,irma
"VERO BEACH 3.5 SSW, FL US",27.59959,-80.416643,9/11/2017,,,irma
"VERO BEACH 2.5 S, FL US",27.610172,-80.39295,9/11/2017,,,irma
"VERO BEACH 6.0 SSE, FL US",27.5598,-80.388936,9/11/2017,,,irma
"SYLVAN SHORES 8.5 NE, FL US",27.405027,-81.246061,9/11/2017,,,irma
"SEBRING 4.7 WNW, FL US",27.515983,-81.525033,9/11/2017,,,irma
"AVON PARK 0.6 NW, FL US",27.60047,-81.509323,9/11/2017,,,irma
"GONZALEZ 2.1 E, FL US",30.568513,-87.254739,9/11/2017,,,irma
"LADY LAKE 5.0 W, FL US",28.92495,-82.0119,9/11/2017,,,irma
"LAND O LAKES 1.5 SSE, FL US",28.202699,-82.440046,9/11/2017,,,irma
"CAPE FLORIDA, FL US",25.6719,-80.1566,9/11/2017,,,irma
"FLEMING ISLAND 1.7 SE, FL US",30.0785,-81.6956,9/11/2017,,,irma
"KEYSTONE HEIGHTS 3.5 ENE, FL US",29.798056,-81.978811,9/11/2017,,,irma
"KEYSTONE HEIGHTS 6.9 ENE, FL US",29.81717,-81.92745,9/11/2017,,,irma
"KEYSTONE HEIGHTS 7.6 ENE, FL US",29.8362,-81.924675,9/11/2017,,,irma
"CHIPLEY, FL US",30.7806,-85.5503,9/11/2017,,,irma
"ARCADIA, FL US",27.21785,-81.8742,9/11/2017,,,irma
"GREEN COVE SPRINGS 6.8 SSE, FL US",29.901897,-81.627703,9/11/2017,,,irma
"ENGLEWOOD 2.0 NNW, FL US",26.986543,-82.365365,9/11/2017,,,irma
"COCOA 4.6 NW, FL US",28.4247,-80.8018,9/11/2017,,,irma
"MIMS 3.3 SW, FL US",28.64682,-80.88007,9/11/2017,,,irma
"PENSACOLA 12.5 SW, FL US",30.3315,-87.353,9/11/2017,,,irma
"PENSACOLA 7.0 NNW, FL US",30.534554,-87.244034,9/11/2017,,,irma
"PALM BAY 3.2 S, FL US",27.939933,-80.669107,9/11/2017,,,irma
"LAKELAND 2, FL US",27.99437,-82.01378,9/11/2017,,,irma
"NORTH PORT 1.6 ENE, FL US",27.061,-82.172,9/11/2017,,,irma
"NORTH PORT 4.7 NNE, FL US",27.113171,-82.165734,9/11/2017,,,irma
"SARASOTA 5.8 SE, FL US",27.261,-82.4885,9/11/2017,,,irma
"COCOA 5.1 NW, FL US",28.42102,-80.81711,9/11/2017,,,irma
"TITUSVILLE 5.9 NNW, FL US",28.6613616,-80.8699074,9/11/2017,,,irma
"MERRITT ISLAND 5.6 NNW, FL US",28.382235,-80.706679,9/11/2017,,,irma
"SARASOTA 1.4 E, FL US",27.34013939,-82.52347565,9/11/2017,,,irma
"ENGLEWOOD 3.7 NNW, FL US",27.003679,-82.386879,9/11/2017,,,irma
"PACE 2.4 N, FL US",30.633971,-87.15933,9/11/2017,,,irma
"MIDDLEBURG 3.8 NW, FL US",30.086134,-81.949961,9/11/2017,,,irma
"GREEN COVE SPRINGS 2.6 WNW, FL US",30.00567,-81.71777,9/11/2017,,,irma
"PENNEY FARMS 0.1 E, FL US",29.980955,-81.810151,9/11/2017,,,irma
"KISSIMMEE 2, FL US",28.2763,-81.424,9/11/2017,,,irma
"NORTH PORT 2.6 E, FL US",27.054479,-82.152672,9/11/2017,,,irma
"KISSIMMEE PRAIRIE PRESERVE, FL US",27.6038,-81.053,9/11/2017,,,irma
"ARCHBOLD BIO STATION, FL US",27.1819,-81.3508,9/11/2017,,,irma
"BARTOW 1 SE, FL US",27.88608,-81.83251,9/11/2017,,,irma
"LAKE WORTH 1.2 N, FL US",26.6362,-80.0558,9/11/2017,,,irma
"NAVARRE 6.2 E, FL US",30.41475,-86.80899,9/11/2017,,,irma
"KEYSTONE HEIGHTS 1.8 ESE, FL US",29.76677704,-82.00788116,9/11/2017,,,irma
"SATSUMA 4.0 NE, FL US",29.5909,-81.6063,9/11/2017,,,irma
